id,filme_id,premio,categoria,ano,resultado
1,1,Oscar,Melhores Efeitos Visuais,2024,Indicado
2,2,BAFTA,Melhor Ator,2023,Indicado
3,2,Oscar,Melhores Efeitos Visuais,2022,Indicado
4,2,Cannes,Melhor Atriz,2022,Indicado
5,2,BAFTA,Melhor Fotografia,2022,Vencedor
6,2,Venice Film Festival,Melhor Ator,2022,Indicado
7,2,Sundance,Melhor Fotografia,2022,Indicado
8,2,Globo de Ouro,Melhor Roteiro Adaptado,2023,Indicado
9,3,BAFTA,Melhor Roteiro Original,2023,Indicado
10,3,Globo de Ouro,Melhor Roteiro Adaptado,2023,Indicado
11,3,Venice Film Festival,Melhor Roteiro Original,2023,Indicado
12,3,Venice Film Festival,Melhor Ator,2023,Indicado
13,3,Sundance,Melhor Roteiro Original,2023,Indicado
14,3,Globo de Ouro,Melhor Ator,2024,Vencedor
15,3,Cannes,Melhor Atriz,2023,Indicado
16,3,Sundance,Melhor Atriz,2024,Vencedor
17,4,BAFTA,Melhor Edição,2021,Indicado
18,4,Oscar,Melhor Diretor,2021,Indicado
19,4,Venice Film Festival,Melhor Fotografia,2022,Indicado
20,4,BAFTA,Melhor Edição,2021,Indicado
21,4,BAFTA,Melhor Trilha Sonora,2022,Vencedor
22,4,Venice Film Festival,Melhores Efeitos Visuais,2022,Indicado
23,4,Sundance,Melhor Edição,2022,Indicado
24,4,Cannes,Melhor Ator,2022,Indicado
25,5,Globo de Ouro,Melhor Filme,2023,Indicado
26,5,Oscar,Melhor Trilha Sonora,2023,Indicado
27,5,Oscar,Melhor Roteiro Original,2022,Indicado
28,6,Cannes,Melhor Edição,2020,Indicado
29,6,Cannes,Melhor Edição,2021,Indicado
30,6,Venice Film Festival,Melhor Edição,2020,Vencedor
31,6,Globo de Ouro,Melhor Roteiro Original,2020,Vencedor
32,6,Globo de Ouro,Melhor Ator,2021,Indicado
33,6,Sundance,Melhor Trilha Sonora,2020,Vencedor
34,6,BAFTA,Melhor Ator,2021,Indicado
35,7,Venice Film Festival,Melhor Fotografia,2023,Indicado
36,7,Sundance,Melhor Ator,2023,Indicado
37,7,BAFTA,Melhor Diretor,2024,Indicado
38,7,Globo de Ouro,Melhor Atriz,2023,Indicado
39,7,Sundance,Melhor Edição,2023,Indicado
40,7,Globo de Ouro,Melhor Roteiro Adaptado,2023,Indicado
41,8,Sundance,Melhor Diretor,2021,Indicado
42,8,Sundance,Melhor Roteiro Adaptado,2022,Indicado
43,8,Venice Film Festival,Melhores Efeitos Visuais,2022,Indicado
44,8,Venice Film Festival,Melhor Roteiro Original,2021,Indicado
45,8,Venice Film Festival,Melhor Trilha Sonora,2021,Indicado
46,8,Sundance,Melhores Efeitos Visuais,2022,Vencedor
47,9,BAFTA,Melhor Roteiro Adaptado,2022,Indicado
48,9,Venice Film Festival,Melhor Roteiro Original,2023,Indicado
49,9,Oscar,Melhor Fotografia,2023,Indicado
50,9,Oscar,Melhor Atriz,2023,Vencedor
51,9,Cannes,Melhor Filme,2022,Vencedor
52,10,Cannes,Melhor Fotografia,2021,Indicado
53,10,Cannes,Melhor Edição,2021,Indicado
54,10,Oscar,Melhores Efeitos Visuais,2021,Indicado
55,10,BAFTA,Melhor Fotografia,2020,Vencedor
56,11,Sundance,Melhores Efeitos Visuais,2023,Indicado
57,11,Sundance,Melhor Edição,2024,Indicado
58,11,BAFTA,Melhor Roteiro Original,2023,Indicado
59,11,Oscar,Melhor Roteiro Original,2023,Indicado
60,12,Venice Film Festival,Melhor Edição,2022,Indicado
61,13,Venice Film Festival,Melhor Roteiro Adaptado,2023,Indicado
62,13,Oscar,Melhor Edição,2022,Indicado
63,14,Cannes,Melhor Roteiro Original,2023,Indicado
64,14,Cannes,Melhor Atriz,2023,Vencedor
65,14,Venice Film Festival,Melhor Diretor,2024,Indicado
66,15,Oscar,Melhor Atriz,2021,Indicado
67,16,Oscar,Melhor Atriz,2021,Indicado
68,16,BAFTA,Melhor Diretor,2021,Vencedor
69,16,Venice Film Festival,Melhores Efeitos Visuais,2022,Indicado
70,16,Globo de Ouro,Melhor Roteiro Original,2021,Indicado
71,16,Cannes,Melhor Roteiro Original,2022,Vencedor
72,17,Sundance,Melhor Fotografia,2022,Indicado
73,17,Globo de Ouro,Melhor Diretor,2023,Indicado
74,17,Venice Film Festival,Melhor Diretor,2023,Vencedor
75,17,BAFTA,Melhor Diretor,2023,Indicado
76,17,Sundance,Melhor Ator,2023,Vencedor
77,17,BAFTA,Melhor Filme,2023,Indicado
78,18,Sundance,Melhor Edição,2023,Indicado
79,18,BAFTA,Melhor Roteiro Adaptado,2024,Vencedor
80,19,BAFTA,Melhor Ator,2020,Indicado
81,20,Sundance,Melhor Fotografia,2021,Indicado
82,21,BAFTA,Melhor Roteiro Original,2022,Vencedor
83,21,Sundance,Melhor Filme,2022,Indicado
84,21,Venice Film Festival,Melhor Diretor,2023,Indicado
85,21,Cannes,Melhor Atriz,2022,Vencedor
86,21,Sundance,Melhor Atriz,2023,Vencedor
87,22,Globo de Ouro,Melhores Efeitos Visuais,2024,Indicado
88,22,Globo de Ouro,Melhor Diretor,2024,Indicado
89,23,Venice Film Festival,Melhor Diretor,2020,Indicado
90,24,Globo de Ouro,Melhores Efeitos Visuais,2022,Indicado
91,24,BAFTA,Melhores Efeitos Visuais,2022,Indicado
92,24,Oscar,Melhor Ator,2021,Indicado
93,24,Sundance,Melhor Roteiro Adaptado,2022,Indicado
94,25,BAFTA,Melhor Atriz,2022,Indicado
95,25,Globo de Ouro,Melhor Diretor,2023,Indicado
96,25,Globo de Ouro,Melhor Roteiro Adaptado,2022,Indicado
97,25,Globo de Ouro,Melhor Atriz,2022,Vencedor
98,25,Oscar,Melhor Fotografia,2022,Indicado
99,25,Cannes,Melhor Edição,2023,Indicado
100,25,Globo de Ouro,Melhor Edição,2023,Indicado
101,26,Venice Film Festival,Melhor Trilha Sonora,2023,Indicado
102,26,Oscar,Melhor Trilha Sonora,2023,Indicado
103,26,Oscar,Melhor Trilha Sonora,2023,Indicado
104,26,Cannes,Melhor Atriz,2024,Indicado
105,26,Sundance,Melhores Efeitos Visuais,2024,Vencedor
106,29,Globo de Ouro,Melhor Filme,2022,Indicado
107,30,Sundance,Melhor Atriz,2023,Indicado
108,31,Venice Film Festival,Melhor Diretor,2020,Vencedor
109,31,Oscar,Melhor Atriz,2020,Indicado
110,32,Venice Film Festival,Melhor Fotografia,2022,Vencedor
111,32,Globo de Ouro,Melhores Efeitos Visuais,2022,Indicado
112,32,BAFTA,Melhor Filme,2022,Indicado
113,33,Globo de Ouro,Melhores Efeitos Visuais,2022,Indicado
114,33,BAFTA,Melhor Atriz,2022,Indicado
115,33,Oscar,Melhor Roteiro Adaptado,2023,Indicado
116,33,Venice Film Festival,Melhor Trilha Sonora,2023,Indicado
117,33,Venice Film Festival,Melhores Efeitos Visuais,2023,Indicado
118,34,Oscar,Melhor Roteiro Adaptado,2023,Indicado
119,34,Sundance,Melhor Ator,2023,Indicado
120,35,Venice Film Festival,Melhores Efeitos Visuais,2021,Vencedor
121,35,Oscar,Melhor Fotografia,2020,Vencedor
122,36,Oscar,Melhor Atriz,2021,Indicado
123,36,Cannes,Melhor Ator,2022,Indicado
124,36,BAFTA,Melhor Roteiro Adaptado,2022,Indicado
125,36,Sundance,Melhor Fotografia,2022,Indicado
126,36,BAFTA,Melhor Trilha Sonora,2022,Indicado
127,36,Sundance,Melhores Efeitos Visuais,2021,Indicado
