id,filme_id,usuario,nota,data_avaliacao,comentario
1,1,usuario_12,4.6,2025-02-04,Surpreendente!
2,1,usuario_16,1.4,2025-08-19,Obra-prima!
3,1,usuario_11,1.9,2023-11-05,Fotografia linda
4,1,usuario_19,4.7,2025-10-20,Atuações incríveis
5,1,usuario_48,3.6,2024-01-03,Ótimo roteiro
6,1,usuario_46,1.5,2024-04-05,Atuações incríveis
7,1,usuario_27,8.7,2025-12-21,Efeitos especiais incríveis
8,1,usuario_36,8.8,2024-03-12,Excelente filme!
9,1,usuario_46,9.6,2025-06-02,Gostei bastante
10,1,usuario_30,7.5,2023-12-16,Ótimo roteiro
11,1,usuario_19,2.4,2024-04-11,"Péssimo, não recomendo"
12,1,usuario_23,4.5,2025-02-04,Ótimo roteiro
13,1,usuario_9,7.4,2025-12-29,Poderia ser melhor
14,1,usuario_49,8.0,2024-01-17,Ótimo roteiro
15,1,usuario_16,7.9,2024-02-07,Não gostei muito
16,1,usuario_11,2.0,2026-01-24,Não gostei muito
17,1,usuario_18,1.5,2023-11-23,Ótimo roteiro
18,1,usuario_3,3.6,2025-01-01,Roteiro fraco
19,2,usuario_6,3.9,2024-01-20,Gostei bastante
20,2,usuario_3,5.0,2024-03-06,Excelente filme!
21,2,usuario_2,8.9,2025-11-30,Poderia ser melhor
22,2,usuario_49,1.3,2026-04-06,Ótimo roteiro
23,2,usuario_30,3.2,2025-06-26,Ótimo roteiro
24,2,usuario_24,6.6,2024-11-24,Obra-prima!
25,2,usuario_50,8.3,2026-03-05,"Péssimo, não recomendo"
26,2,usuario_36,5.2,2023-07-20,História cativante
27,2,usuario_39,7.4,2025-01-15,"Péssimo, não recomendo"
28,2,usuario_50,8.0,2026-03-28,Atuações incríveis
29,2,usuario_24,9.1,2024-11-06,Atuações incríveis
30,2,usuario_16,9.7,2025-10-12,Filme razoável
31,2,usuario_34,1.9,2024-08-28,Roteiro fraco
32,2,usuario_6,2.6,2025-05-28,Obra-prima!
33,2,usuario_7,5.7,2024-04-14,"Muito bom, recomendo!"
34,2,usuario_2,4.6,2025-03-03,Gostei bastante
35,2,usuario_45,1.9,2024-07-10,Obra-prima!
36,2,usuario_15,4.1,2024-07-21,Atuações incríveis
37,2,usuario_9,2.1,2023-08-13,Excelente filme!
38,2,usuario_22,3.0,2025-01-20,"Péssimo, não recomendo"
39,3,usuario_21,1.1,2025-09-10,"Péssimo, não recomendo"
40,3,usuario_46,3.0,2025-01-12,Não gostei muito
41,3,usuario_11,2.5,2023-08-24,Surpreendente!
42,3,usuario_29,5.9,2024-06-28,Atuações incríveis
43,3,usuario_41,7.0,2023-09-01,Efeitos especiais incríveis
44,3,usuario_21,9.9,2023-09-11,
45,3,usuario_4,2.8,2025-01-18,Não gostei muito
46,3,usuario_8,4.7,2023-10-23,"Muito bom, recomendo!"
47,3,usuario_13,8.8,2024-01-21,Vale a pena assistir
48,3,usuario_26,7.7,2023-09-17,Atuações incríveis
49,3,usuario_31,5.9,2024-10-02,Roteiro fraco
50,3,usuario_28,4.8,2026-04-06,Direção impecável
51,3,usuario_31,6.2,2023-07-31,Não gostei muito
52,4,usuario_44,2.8,2025-03-23,Excelente filme!
