id,nome,pais_origem,data_nascimento,sexo,oscar_ganhos
1,Michael Sterling,EUA,1985-03-15,M,2
2,Emma Rodriguez,Espanha,1990-07-22,F,1
3,James Chen,China,1978-11-08,M,0
4,Sofia Martinez,México,1992-04-30,F,1
5,William Parker,Reino Unido,1982-09-12,M,3
6,Olivia Kim,Coreia do Sul,1995-01-18,F,0
7,Daniel Costa,Brasil,1988-06-25,M,0
8,Isabella Rossi,Itália,1991-12-03,F,2
9,Alexander Müller,Alemanha,1975-08-14,M,1
10,Sophia Laurent,França,1993-02-28,F,1
11,Robert Johnson,EUA,1980-05-20,M,4
12,Maria Santos,Brasil,1987-10-11,F,0
13,Thomas Anderson,Canadá,1983-07-07,M,1
14,Ana García,Espanha,1994-03-19,F,0
15,David Lee,EUA,1976-12-30,M,2
16,Jennifer White,EUA,1989-08-05,F,3
17,Lucas Silva,Brasil,1991-11-22,M,0
18,Emily Brown,Austrália,1986-04-17,F,1
19,Christopher Davis,EUA,1979-09-28,M,2
20,Natalie Green,Irlanda,1992-06-14,F,0
21,Matthew Wilson,EUA,1984-01-09,M,1
22,Charlotte Moore,Reino Unido,1990-05-25,F,2
23,Andrew Taylor,Escócia,1977-03-31,M,0
24,Victoria Adams,Reino Unido,1988-07-12,F,1
25,Benjamin Harris,EUA,1981-10-23,M,0
26,Amanda Clark,Canadá,1993-02-06,F,0
27,Samuel Wright,EUA,1985-08-19,M,1
28,Rachel Lewis,EUA,1991-04-08,F,2
29,Joseph Hall,Reino Unido,1978-12-15,M,3
30,Megan Young,Austrália,1994-09-03,F,0
31,Kevin King,EUA,1982-06-27,M,0
32,Laura Scott,Escócia,1989-01-14,F,1
33,Ryan Mitchell,Irlanda,1986-11-30,M,0
34,Sarah Baker,EUA,1992-07-21,F,0
35,Justin Campbell,Canadá,1980-04-04,M,1
36,Ashley Turner,EUA,1987-10-17,F,2
37,Brandon Phillips,EUA,1983-03-08,M,0
38,Stephanie Evans,Gales,1990-08-24,F,0
39,Tyler Roberts,EUA,1979-05-11,M,1
40,Nicole Carter,EUA,1991-12-29,F,1
41,Adam Collins,Austrália,1984-07-16,M,0
42,Michelle Stewart,Nova Zelândia,1988-02-02,F,0
43,Eric Sanchez,México,1976-09-20,M,0
44,Samantha Morris,EUA,1993-06-07,F,1
45,Patrick Nelson,Irlanda,1981-01-26,M,2
46,Rebecca Price,Reino Unido,1995-04-13,F,0
47,Gregory Hughes,EUA,1977-11-05,M,1
48,Danielle Foster,Canadá,1990-03-22,F,0
49,Jeremy Reed,EUA,1985-08-09,M,0
50,Heather Cooper,EUA,1992-10-31,F,1
